label,content,hash
0,"commit 88725336717ab93a194bd1b100179b6a96983988
Author: Taylor Simpson <tsimpson@quicinc.com>
Date:   Tue Jun 1 18:19:43 2021 -0500

    Hexagon (target/hexagon) cleanup gen_store_conditional[48] functions
    
    Previously the store-conditional code was writing to hex_pred[prednum].
    Then, the fGEN_TCG override was reading from there to the destination
    variable so that the packet commit logic would handle it properly.
    
    The correct implementation is to write to the destination variable
    and don't have the extra read in the override.
    
    Remove the unused arguments from gen_store_conditional[48]
    
    Signed-off-by: Taylor Simpson <tsimpson@quicinc.com>
    Reviewed-by: Richard Henderson <richard.henderson@linaro.org>
    Message-Id: <1622589584-22571-4-git-send-email-tsimpson@quicinc.com>",8872533671
0,"commit a5a8d98c8537f022a14bdc70eff12e296431b80f
Author: Taylor Simpson <tsimpson@quicinc.com>
Date:   Tue Jun 1 18:19:42 2021 -0500

    Hexagon (target/hexagon) fix l2fetch instructions
    
    Y4_l2fetch == l2fetch(Rs32, Rt32)
    Y5_l2fetch == l2fetch(Rs32, Rtt32)
    
    The semantics for these instructions are present, but the encodings
    are missing.
    
    Note that these are treated as nops in qemu, so we add overrides.
    
    Test case added to tests/tcg/hexagon/misc.c
    
    Signed-off-by: Taylor Simpson <tsimpson@quicinc.com>
    Reviewed-by: Richard Henderson <richard.henderson@linaro.org>
    Message-Id: <1622589584-22571-3-git-send-email-tsimpson@quicinc.com>",a5a8d98c85
0,"commit 9e654e10197f5a014eccd71de5ea633c1b0f4303
Merge: 271fc190b3 149009bef4
Author: Peter Maydell <peter.maydell@linaro.org>
Date:   Mon Jun 28 17:08:34 2021 +0100

    Merge remote-tracking branch 'remotes/vsementsov/tags/pull-jobs-2021-06-25' into staging
    
    block: Make block-copy API thread-safe
    
    # gpg: Signature made Fri 25 Jun 2021 13:40:24 BST
    # gpg:                using RSA key 8B9C26CDB2FD147C880E86A1561F24C1F19F79FB
    # gpg: Good signature from ""Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>"" [unknown]
    # gpg: WARNING: This key is not certified with a trusted signature!
    # gpg:          There is no indication that the signature belongs to the owner.
    # Primary key fingerprint: 8B9C 26CD B2FD 147C 880E  86A1 561F 24C1 F19F 79FB
    
    * remotes/vsementsov/tags/pull-jobs-2021-06-25:
      block-copy: atomic .cancelled and .finished fields in BlockCopyCallState
      block-copy: add CoMutex lock
      block-copy: move progress_set_remaining in block_copy_task_end
      block-copy: streamline choice of copy_range vs. read/write
      block-copy: small refactor in block_copy_task_entry and block_copy_common
      co-shared-resource: protect with a mutex
      progressmeter: protect with a mutex
      blockjob: let ratelimit handle a speed of 0
      block-copy: let ratelimit handle a speed of 0
      ratelimit: treat zero speed as unlimited
    
    Signed-off-by: Peter Maydell <peter.maydell@linaro.org>",9e654e1019
0,"commit 687f9f7834e30330fd952f1fe096518509ff8ff7
Merge: 5d2d18ae39 f5c6ee0c6b
Author: Peter Maydell <peter.maydell@linaro.org>
Date:   Mon Jun 28 09:44:41 2021 +0100

    Merge remote-tracking branch 'remotes/philmd/tags/mips-20210625' into staging
    
    MIPS patches queue
    
    Various fixes:
    - Potential integer overflow (CID 1452921)
    - Invalid emulation of nanoMIPS BPOSGE32 opcode
    - Missing exception when DINSV opcode used with DSP disabled
    - Do not abort but emit exception for invalid BRANCH opcodes
    - TCG temporary leaks
    
    Housekeeping:
    - Remove dead code / comments
    - Restrict few files to TCG, declarations to sysemu
    - Merge MSA32 and MSA64 decodetree definitions
    
    # gpg: Signature made Fri 25 Jun 2021 10:22:20 BST
    # gpg:                using RSA key FAABE75E12917221DCFD6BB2E3E32C2CDEADC0DE
    # gpg: Good signature from ""Philippe Mathieu-Daudé (F4BUG) <f4bug@amsat.org>"" [full]
    # Primary key fingerprint: FAAB E75E 1291 7221 DCFD  6BB2 E3E3 2C2C DEAD C0DE
    
    * remotes/philmd/tags/mips-20210625:
      target/mips: Merge msa32/msa64 decodetree definitions
      target/mips: Remove pointless gen_msa()
      target/mips: Optimize regnames[] arrays
      target/mips: Constify host_to_mips_errno[]
      target/mips: fix emulation of nanoMIPS BPOSGE32 instruction
      target/mips: Remove microMIPS BPOSGE32 / BPOSGE64 unuseful cases
      target/mips: Remove SmartMIPS / MDMX unuseful comments
      target/mips: Restrict some system specific declarations to sysemu
      target/mips: Move translate.h to tcg/ sub directory
      target/mips: Move TCG trace events to tcg/ sub directory
      target/mips: Do not abort on invalid instruction
      target/mips: Raise exception when DINSV opcode used with DSP disabled
      target/mips: Fix more TCG temporary leaks in gen_pool32a5_nanomips_insn
      target/mips: Fix TCG temporary leaks in gen_pool32a5_nanomips_insn()
      target/mips: Fix potential integer overflow (CID 1452921)
    
    Signed-off-by: Peter Maydell <peter.maydell@linaro.org>",687f9f7834
0,"commit 593d3c51481bc40433474bd2b922217e819f1f68
Author: Paolo Bonzini <pbonzini@redhat.com>
Date:   Thu Jun 17 17:53:04 2021 +0200

    machine: move common smp_parse code to caller
    
    Most of smp_parse and pc_smp_parse is guarded by an ""if (opts)""
    conditional, and the rest is common to both function.  Move the
    conditional and the common code to the caller, machine_smp_parse.
    
    Move the replay_add_blocker call after all errors are checked for.
    
    Signed-off-by: Paolo Bonzini <pbonzini@redhat.com>
    Message-Id: <20210617155308.928754-8-pbonzini@redhat.com>
    Signed-off-by: Paolo Bonzini <pbonzini@redhat.com>",593d3c5148
0,"commit d0c389d2ce6031d80e872e8e1b6ebb0f96afbe69
Author: Emanuele Giuseppe Esposito <eesposit@redhat.com>
Date:   Thu Jun 24 09:20:42 2021 +0200

    block-copy: add CoMutex lock
    
    Group various structures fields, to better understand what we need to
    protect with a lock and what doesn't need it.
    Then, add a CoMutex to protect concurrent access of block-copy
    data structures. This mutex also protects .copy_bitmap, because its thread-safe
    API does not prevent it from assigning two tasks to the same
    bitmap region.
    
    Exceptions to the lock:
    - .sleep_state is handled in the series ""coroutine: new sleep/wake API""
    and thus here left as TODO.
    
    - .finished, .cancelled and reads to .ret and .error_is_read will be
    protected in the following patch, because are used also outside
    coroutines.
    
    - .skip_unallocated is atomic. Including it under the mutex would
    increase the critical sections and make them also much more complex.
    We can have it as atomic since it is only written from outside and
    read by block-copy coroutines.
    
    Signed-off-by: Emanuele Giuseppe Esposito <eesposit@redhat.com>
    Message-Id: <20210624072043.180494-5-eesposit@redhat.com>
      [vsementsov: fix typo in comment]
    Reviewed-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>
    Signed-off-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>",d0c389d2ce
0,"commit 55fa54a789f6e66fe9e7997429667e3e8917ffb9
Author: Emanuele Giuseppe Esposito <eesposit@redhat.com>
Date:   Mon Jun 14 10:11:30 2021 +0200

    co-shared-resource: protect with a mutex
    
    co-shared-resource is currently not thread-safe, as also reported
    in co-shared-resource.h. Add a QemuMutex because co_try_get_from_shres
    can also be invoked from non-coroutine context.
    
    Reviewed-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>
    Signed-off-by: Emanuele Giuseppe Esposito <eesposit@redhat.com>
    Message-Id: <20210614081130.22134-6-eesposit@redhat.com>
    Signed-off-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>",55fa54a789
0,"commit a7b4f8fc09ec62d09a11cce72a886c453636c547
Author: Emanuele Giuseppe Esposito <eesposit@redhat.com>
Date:   Mon Jun 14 10:11:29 2021 +0200

    progressmeter: protect with a mutex
    
    Progressmeter is protected by the AioContext mutex, which
    is taken by the block jobs and their caller (like blockdev).
    
    We would like to remove the dependency of block layer code on the
    AioContext mutex, since most drivers and the core I/O code are already
    not relying on it.
    
    Create a new C file to implement the ProgressMeter API, but keep the
    struct as public, to avoid forcing allocation on the heap.
    
    Also add a mutex to be able to provide an accurate snapshot of the
    progress values to the caller.
    
    Signed-off-by: Emanuele Giuseppe Esposito <eesposit@redhat.com>
    Reviewed-by: Stefan Hajnoczi <stefanha@redhat.com>
    Message-Id: <20210614081130.22134-5-eesposit@redhat.com>
    Signed-off-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>",a7b4f8fc09
0,"commit c02b83ed1ff62211f4c44855e0ca1656d5811688
Author: Paolo Bonzini <pbonzini@redhat.com>
Date:   Mon Jun 14 10:11:28 2021 +0200

    blockjob: let ratelimit handle a speed of 0
    
    Reviewed-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>
    Signed-off-by: Paolo Bonzini <pbonzini@redhat.com>
    Signed-off-by: Emanuele Giuseppe Esposito <eesposit@redhat.com>
    Message-Id: <20210614081130.22134-4-eesposit@redhat.com>
    Signed-off-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>",c02b83ed1f
0,"commit ca657c99e6b41fa765443fc93df5c4adf468e369
Author: Paolo Bonzini <pbonzini@redhat.com>
Date:   Mon Jun 14 10:11:27 2021 +0200

    block-copy: let ratelimit handle a speed of 0
    
    Reviewed-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>
    Signed-off-by: Paolo Bonzini <pbonzini@redhat.com>
    Signed-off-by: Emanuele Giuseppe Esposito <eesposit@redhat.com>
    Message-Id: <20210614081130.22134-3-eesposit@redhat.com>
    Signed-off-by: Vladimir Sementsov-Ogievskiy <vsementsov@virtuozzo.com>",ca657c99e6
