content,label
" http: cosmetics: reformat reconnect check for better readability The condition was a bit too long, and most editors will break the line&&&&and turn it into an unreadable mess. Move out some of the conditions.&&&&&&&&This should not change the behavior.&&&& ",0
 avcodec/nvenc: add some more error case checks Signed-off-by: Timo Rothenpieler <timo@rothenpieler.org>&&&& ,0
 hevc: Add hevc_get_pixel_4/8/12/16/24/32/48/64 Checkasm timings:&&&&block size bitdepth  C       NEON&&&&4           8 bit:    146.7   48.7&&&&           10 bit:    146.7   52.7&&&&8           8 bit:    430.3   84.4&&&&           10 bit:    430.4  119.5&&&&12          8 bit:    812.8  141.0&&&&           10 bit:    812.8  195.0&&&&16          8 bit:   1499.1  268.0&&&&           10 bit:   1498.9  368.4&&&&24          8 bit:   4394.2  574.8&&&&           10 bit:   3696.3  804.8&&&&32          8 bit:   5108.6  568.9&&&&           10 bit:   4249.6  918.8&&&&48          8 bit:  16819.6 2304.9&&&&           10 bit:  13882.0 3178.5&&&&64          8 bit:  13490.8 1799.5&&&&           10 bit:  11018.5 2519.4&&&&&&&&Signed-off-by: Martin Storsj枚 <martin@martin.st>&&&& ,0
" x86inc: Enable AVX emulation for floating-point pseudo-instructions There are 32 pseudo-instructions for each floating-point comparison&&&&instruction, but only 8 of them are actually valid in legacy-encoded mode.&&&&The remaining 24 requires the use of VEX-encoded (v-prefixed) instructions&&&&and can therefore be disregarded for this purpose.&&&& ",0
" avformat/hlsenc: Check that data is set If codecpar->extradata is not set (for example, when the stream goes&&&&through the 'tee' muxer), then a segfault occurs.&&&&This patch ensures the data variable is not null before attempting&&&&to access it&&&&Before the var_stream_map option was available - I was using the tee&&&&muxer to create each resolution as an individual stream.&&&&When running this configuration after the most recent hlsenc change&&&&I hit a segfault&&&&The most simple command which recreates the segfault is:&&&&ffmpeg -i in.ts -map 0:a -map 0:v -c:a aac -c:v h264 -f tee [select=\'a,v\':f=hls]tv_hls_hd.m3u8&&&&&&&&Signed-off-by: Brendan McGrath <redmcg@redmandi.dyndns.org>&&&& ",0
 libavcodec/h264_sei: Don't log random user data. This prevents terminal junk.  ,0
" ffmpeg: use explicitly requested hwaccel only With there being two hwaccels that use the CUDA pix_fmt now, just&&&&relying on the pix_fmt to identify the selected hwaccel is not enough&&&&anymore.&&&&&&&&So this checks if the user explicitly selected a hwaccel, and only&&&&accepts that one.&&&& ",0
" avconv.c: fix calculation of input file duration in seek_to_start() Fixes looping files without audio or when using stream_copy, where&&&&ist->nb_samples is not set since no decoding is done.&&&&&&&&Signed-off-by: Diego Biurrun <diego@biurrun.de>&&&& ",0
 avcodec/dca_core: always limit frame size to data size Silences pointless error message when decoding DTS-in-WAV stream with&&&&excessive frame size stored in header.&&&& ,0
" Don't use _tzcnt instrinics with clang for windows w/o BMI. Technically _tzcnt* intrinsics are only available when the BMI&&&&instruction set is present. However the instruction encoding&&&&degrades to ""rep bsf"" on older processors.&&&&&&&&Clang for Windows debatably restricts the _tzcnt* instrinics behind&&&&the __BMI__ architecture define, so check for its presence or&&&&exclude the usage of these intrinics when clang is present.&&&&&&&&See also:&&&&https://ffmpeg.org/pipermail/ffmpeg-devel/2015-November/183404.html&&&&https://bugs.llvm.org/show_bug.cgi?id=30506&&&&http://lists.llvm.org/pipermail/cfe-dev/2016-October/051034.html&&&&&&&&Signed-off-by: Dale Curtis <dalecurtis@chromium.org>&&&&Reviewed-by: Matt Oliver <protogonoi@gmail.com>&&&&Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>&&&& ",0
 avcodec/mips: Unrolled loops and expanded functions in avc put mc 10 & 30 msa functions Signed-off-by: Kaustubh Raste <kaustubh.raste@imgtec.com>&&&&Reviewed-by: Manojkumar Bhosale <Manojkumar.Bhosale@imgtec.com>&&&&Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>&&&& ,0
" lavf/tls_gnutls: fix warnings from version check The GnuTLS version is checked through the macro GNUTLS_VERSION_NUMBER,&&&&but this wasn't introduced before 2.7.2. Building with older versions&&&&of GnuTLS (using icc) warns:&&&&&&&&src/libavformat/tls_gnutls.c(38): warning #193: zero used for undefined preprocessing identifier ""GNUTLS_VERSION_NUMBER""&&&&  #if HAVE_THREADS && GNUTLS_VERSION_NUMBER <= 0x020b00&&&&&&&&This adds a fallback to the older, deprecated LIBGNUTLS_VERSION_NUMBER&&&&macro.&&&&&&&&Signed-off-by: Moritz Barsnick <barsnick@gmx.net>&&&& ",0
 avcodec/mips: Improve avc mc copy msa functions Remove loops and unroll as block sizes are known.&&&&&&&&Signed-off-by: Kaustubh Raste <kaustubh.raste@imgtec.com>&&&&Reviewed-by: Manojkumar Bhosale <Manojkumar.Bhosale@imgtec.com>&&&&Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>&&&& ,0
" build: cleanup videotoolbox - there is no need for kCVImageBufferColorPrimaries_ITU_R_2020 checks,&&&&  it's done at runtime&&&&- VideoToolbox presence is now checked with check_apple_framework()&&&&- link to CoreServices is only done when videotoolbox is enabled&&&& ",0
" avformat/concatdec: add fallback for calculating file duration If a file does not have a known duration, this leads to the timestamps&&&&starting over for the next file, causing non-monotonic timestamps.&&&&To prevent this, track the duration during demuxing and use it to&&&&determine the current file duration before opening the next file.&&&&&&&&Signed-off-by: Derek Buitenhuis <derek.buitenhuis@gmail.com>&&&& ",0
" d3d11va: Check WINAPI_FAMILY instead of HAVE_LOADLIBRARY If using the winstore compat library, a fallback LoadLibrary&&&&function does exist, that only calls LoadPackagedLibrary though&&&&(which doesn't work for dynamically loading d3d11 DLLs).&&&&&&&&Therefore explicitly check the targeted API family instead.&&&&&&&&Make this check a reusable HAVE_* component which other parts&&&&of the libraries can check when necessary as well.&&&&&&&&Signed-off-by: Martin Storsj枚 <martin@martin.st>&&&&&&&&Merged from Libav commit 4d330da006fe48178.&&&& ",0
 avformat/s337m: fix potentially undefined pointer arithmetic Use integer position instead of pointer for loop variable. Also only&&&&skip header fields after header has been fully validated.&&&& ,0
" vp9: add mxext versions of the single-block (w=4,npx=8) h/v loopfilters. Each takes about 0.5% of runtime in my profiles, and they didn't have&&&&any SIMD yet so far (we only had simd for npx=16 double-block versions).&&&& ",0
 checkasm: add AAC PS tests This includes various fixes and improvements from James Almer.&&&&&&&&Signed-off-by: James Almer <jamrial@gmail.com>&&&& ,0
