label,content
0," char: remove fixed length filename allocation A variety of places were snprintf()ing into a fixed length&&&&filename buffer. Some of the buffers were stack allocated,&&&&while another was heap allocated with g_malloc(). Switch&&&&them all to heap allocated using g_strdup_printf() avoiding&&&&arbitrary length restrictions.&&&&&&&&This also facilitates later patches which will want to&&&&populate the filename by calling external functions&&&&which do not support use of a pre-allocated buffer.&&&&&&&&Signed-off-by: Daniel P. Berrange <berrange@redhat.com>&&&&Message-Id: <1453202071-10289-2-git-send-email-berrange@redhat.com>&&&&Signed-off-by: Paolo Bonzini <pbonzini@redhat.com>&&&& "
0," vhost-user-test: make features mask an init_virtio_dev() argument The goal is to generalize the use of [un]init_virtio_dev() to&&&&all tests, which does not necessarily expose the same features&&&&set.&&&&&&&&Signed-off-by: Maxime Coquelin <maxime.coquelin@redhat.com>&&&&Reviewed-by: Michael S. Tsirkin <mst@redhat.com>&&&&Signed-off-by: Michael S. Tsirkin <mst@redhat.com>&&&&Reviewed-by: Marc-Andr茅 Lureau <marcandre.lureau@redhat.com>&&&& "
0," dev-storage: Fix the unusual function name The function name of usb_msd_{realize,unrealize}_*,&&&&usb_msd_class_initfn_* are unusual. Rename it to&&&&usb_msd_*_{realize,unrealize}, usb_msd_class_*_initfn.&&&&&&&&Cc: Gerd Hoffmann <kraxel@redhat.com>&&&&&&&&Signed-off-by: Mao Zhongyi <maozy.fnst@cn.fujitsu.com>&&&&Reviewed-by: Philippe Mathieu-Daud茅 <f4bug@amsat.org>&&&&Message-id: 11e6003433abce35f3f4970e1acc71ee92dbcf51.1511317952.git.maozy.fnst@cn.fujitsu.com&&&&Signed-off-by: Stefan Hajnoczi <stefanha@redhat.com>&&&& "
0," ui: avoid pointless VNC updates if framebuffer isn't dirty The vnc_update_client() method checks the 'has_dirty' flag to see if there are&&&&dirty regions that are pending to send to the client. Regardless of this flag,&&&&if a forced update is requested, updates must be sent. For unknown reasons&&&&though, the code also tries to sent updates if audio capture is enabled. This&&&&makes no sense as audio capture state does not impact framebuffer contents, so&&&&this check is removed.&&&&&&&&Signed-off-by: Daniel P. Berrange <berrange@redhat.com>&&&&Reviewed-by: Darren Kenny <darren.kenny@oracle.com>&&&&Reviewed-by: Marc-Andr茅 Lureau <marcandre.lureau@redhat.com>&&&&Message-id: 20171218191228.31018-5-berrange@redhat.com&&&&Signed-off-by: Gerd Hoffmann <kraxel@redhat.com>&&&& "
0," block: count bdrv_co_rw_vmstate() requests Call bdrv_inc/dec_in_flight() for vmstate reads/writes.  This seems&&&&unnecessary at first glance because vmstate reads/writes are done&&&&synchronously while the guest is stopped.  But we need the bdrv_wakeup()&&&&in bdrv_dec_in_flight() so the main loop sees request completion.&&&&Besides, it's cleaner to count vmstate reads/writes like ordinary&&&&read/write requests.&&&&&&&&The bdrv_wakeup() partially fixes a 'savevm' hang with -object iothread.&&&&&&&&Signed-off-by: Stefan Hajnoczi <stefanha@redhat.com>&&&&Reviewed-by: Eric Blake <eblake@redhat.com>&&&&Reviewed-by: Paolo Bonzini <pbonzini@redhat.com>&&&&Signed-off-by: Kevin Wolf <kwolf@redhat.com>&&&& "
0," pci: Eliminate redundant PCIDevice::bus pointer The bus pointer in PCIDevice is basically redundant with QOM information.&&&&It's always initialized to the qdev_get_parent_bus(), the only difference&&&&is the type.&&&&&&&&Therefore this patch eliminates the field, instead creating a pci_get_bus()&&&&helper to do the type mangling to derive it conveniently from the QOM&&&&Device object underneath.&&&&&&&&Signed-off-by: David Gibson <david@gibson.dropbear.id.au>&&&&Reviewed-by: Michael S. Tsirkin <mst@redhat.com>&&&&Signed-off-by: Michael S. Tsirkin <mst@redhat.com>&&&&Reviewed-by: Eduardo Habkost <ehabkost@redhat.com>&&&&Reviewed-by: Marcel Apfelbaum <marcel@redhat.com>&&&&Reviewed-by: Peter Xu <peterx@redhat.com>&&&& "
0," mips: use object_new() instead of gnew()+object_initialize() object_initialize() is intended for inplace initialization of&&&&objects, but here it's first allocated with g_new0() and then&&&&initialized with object_initialize(). QEMU already has API&&&&to do this (object_new), so do object creation with suitable&&&&for usecase API.&&&&&&&&Signed-off-by: Igor Mammedov <imammedo@redhat.com>&&&&Reviewed-by: Philippe Mathieu-Daud茅 <f4bug@amsat.org>&&&&Tested-by: Philippe Mathieu-Daud茅 <f4bug@amsat.org>&&&&Message-Id: <1507211474-188400-36-git-send-email-imammedo@redhat.com>&&&&Signed-off-by: Eduardo Habkost <ehabkost@redhat.com>&&&& "
0, target/sparc: check CF_PARALLEL instead of parallel_cpus Thereby decoupling the resulting translated code from the current state&&&&of the system.&&&&&&&&Reviewed-by: Richard Henderson <rth@twiddle.net>&&&&Signed-off-by: Emilio G. Cota <cota@braap.org>&&&&Signed-off-by: Richard Henderson <richard.henderson@linaro.org>&&&& 
0," target/i386: introduce x86_ld*_code These take care of advancing s->pc, and will provide a unified point&&&&where to check for the 15-byte instruction length limit.&&&&&&&&Signed-off-by: Paolo Bonzini <pbonzini@redhat.com>&&&& "
0," migration: Add 'pause-before-switchover' capability When 'pause-before-switchover' is enabled, the outgoing migration&&&&will pause before invalidating the block devices and serializing&&&&the device state.&&&&At this point the management layer gets the chance to clean up any&&&&device jobs or other device users before the migration completes.&&&&&&&&Signed-off-by: Dr. David Alan Gilbert <dgilbert@redhat.com>&&&&Reviewed-by: Peter Xu <peterx@redhat.com>&&&&Reviewed-by: Juan Quintela <quintela@redhat.com>&&&&Signed-off-by: Juan Quintela <quintela@redhat.com>&&&& "
0," openrisc: Initial SMP support Wire in ompic and add basic support for SMP.  The OpenRISC is special in&&&&that interrupts for devices are routed to each core's PIC.  This is&&&&achieved using the qemu_irq_split utility, but this currently limits&&&&OpenRISC to 2 cores.&&&&&&&&This models the reference architecture described in the OpenRISC spec&&&&1.2 proposal.&&&&&&&&  https://github.com/stffrdhrn/doc/raw/arch-1.2-proposal/openrisc-arch-1.2-rev0.pdf&&&&&&&&The changes to the intialization of the sim include:&&&&&&&&CPU Reset&&&& o Reset each cpu to the bootstrap PC rather than only a single cpu as&&&&   done before.&&&& o During Kernel loading the bootstrap PC is saved in a static global.&&&&&&&&Network Initialization&&&& o Connect the interrupt to each CPU&&&& o Use more simple sysbus_mmio_map() rather than memory_region_add_subregion()&&&&&&&&Sim Initialization&&&& o Initialize the pic and tick timer per cpu&&&& o Wire in the OMPIC if SMP is enabled&&&& o Wire the serial irq to each CPU using qemu_irq_split()&&&&&&&&Reviewed-by: Richard Henderson <richard.henderson@linaro.org>&&&&Signed-off-by: Stafford Horne <shorne@gmail.com>&&&& "
0," io: get rid of bounce buffering in websock write path Currently most outbound I/O on the websock channel gets copied into the&&&&rawoutput buffer, and then immediately copied again into the encoutput&&&&buffer, with a header prepended. Now that qio_channel_websock_encode&&&&accepts a struct iovec, we can trivially remove this bounce buffering&&&&and write directly to encoutput.&&&&&&&&In doing so, we also now correctly validate the encoutput size against&&&&the QIO_CHANNEL_WEBSOCK_MAX_BUFFER limit.&&&&&&&&Reviewed-by: Eric Blake <eblake@redhat.com>&&&&Signed-off-by: Daniel P. Berrange <berrange@redhat.com>&&&& "
0," pci: allow 32-bit PCI IO accesses to pass through the PCI bridge Whilst the underlying PCI bridge implementation supports 32-bit PCI IO&&&&accesses, unfortunately they are truncated at the legacy 64K limit.&&&&&&&&Signed-off-by: Mark Cave-Ayland <mark.cave-ayland@ilande.co.uk>&&&&Reviewed-by: Richard Henderson <richard.henderson@linaro.org>&&&&Reviewed-by: Michael S. Tsirkin <mst@redhat.com>&&&&Signed-off-by: Michael S. Tsirkin <mst@redhat.com>&&&& "
0," build: automatically handle GIT submodule checkout for dtc Currently if DTC is required by configure and not available in the host&&&&OS install, we exit with an error message telling the user to checkout a&&&&git submodule or install the library.&&&&&&&&This introduces automatic handling of the git submodule checkout process&&&&and enables it for dtc. This only runs if building from GIT, so users of&&&&release tarballs still need the system library install. The current state&&&&of the git checkout is stashed in .git-submodule-status, and a helper&&&&program is used to determine if this state matches the desired submodule&&&&state. A dependency against 'Makefile' ensures that the submodule state&&&&is refreshed at the start of the build process&&&&&&&&Signed-off-by: Daniel P. Berrange <berrange@redhat.com>&&&&Message-id: 20170929101201.21039-2-berrange@redhat.com&&&&&&&&[ kraxel: use /bin/sh not bash for scripts/git-submodule.sh ]&&&&[ kraxel: fix Makefile dependencies ]&&&&&&&&Signed-off-by: Gerd Hoffmann <kraxel@redhat.com>&&&&&&&&[fixup] Makefile dep&&&& "
0, qom/cpu: move cpu_model null check to cpu_class_by_name() and clean every implementation.&&&&&&&&Suggested-by: Eduardo Habkost <ehabkost@redhat.com>&&&&Signed-off-by: Philippe Mathieu-Daud茅 <f4bug@amsat.org>&&&&Message-Id: <20170917232842.14544-1-f4bug@amsat.org>&&&&Reviewed-by: Igor Mammedov <imammedo@redhat.com>&&&&Reviewed-by: Laurent Vivier <laurent@vivier.eu>&&&&Reviewed-by: Artyom Tarasenko <atar4qemu@gmail.com>&&&&Signed-off-by: Eduardo Habkost <ehabkost@redhat.com>&&&& 
